{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-orrsta-light-grey__0932404_pe791443_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-orrsta-light-grey__0932397_pe791437_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tustna-orrsta-light-grey__0932404_pe791443_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-orrsta-light-grey__0932404_pe791443_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-orrsta-light-grey__0932404_pe791443_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-orrsta-light-grey__0932397_pe791437_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-hillared-beige__0932407_pe791445_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-hillared-beige__0932401_pe791441_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-medium-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '14 495', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-tustna-dark-grey__0419398_pe576256_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0392278_pe574689_s5.jpg?f=xxs', 'price': '17 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '11 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '7 845', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-medium-firm-tustna-gunnared-medium-grey__0932405_pe791444_s5.jpg?f=xxs', 'price': '8 229', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD / RYKKINN', 'description': 'Mattress with headboard, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-rykkinn-mattress-with-headboard-firm-tussoey-gunnared-medium-grey__0932399_pe791439_s5.jpg?f=xxs', 'price': '10 590', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SNARUM', 'description': 'Wooden base spr mattress, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-wooden-base-spr-mattress-medium-firm-beige__0965464_pe809472_s5.jpg?f=xxs', 'price': '4 690', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base spr mattress, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-spr-mattress-medium-firm-natural__0965474_pe809475_s5.jpg?f=xxs', 'price': '13 690', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-spr-mattress-medium-firm-natural__0965474_pe809475_s5.jpg?f=xxs', 'price': '12 090', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Wooden base spr mattress, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-spr-mattress-firm-medium-firm-natural__0965474_pe809475_s5.jpg?f=xxs', 'price': '13 690', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'STUVLAND', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-spr-mattress-firm-medium-firm-natural__0965474_pe809475_s5.jpg?f=xxs', 'price': '12 090', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tussoey-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '15 995', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '15 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-medium-firm-tustna-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '17 295', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tustna-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '16 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tustna-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '16 295', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tustna-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '17 295', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 795', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-medium-firm-tussoey-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '14 795', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-medium-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '15 995', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '17 295', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-tustna-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '16 295', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 795', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-tussoey-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '14 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tussoey-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '15 995', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-medium-firm-tussoey-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '15 995', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-medium-firm-tustna-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '17 295', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-medium-firm-hornnes-gunnared-beige__0794062_pe765489_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'DUNVIK', 'description': 'Divan bed, 180x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-valevag-firm-hornnes-gunnared-beige__0794065_pe765491_s5.jpg?f=xxs', 'price': '14 595', 'springs': 'Pocket springs', 'firmness': 'Firm'}
